word,frequency,sentiment
recebimento,34,positive
marcadaestou,1,positive
aguardando,83,positive
comecei,12,positive
tomar,12,positive
remedio,1,positive
luminárias,11,positive
lindas,68,positive
chegarm,1,positive
preços,48,positive
indicado,37,positive
farei,28,positive
novos,4,positive
pedidos,40,positive
satisfatória,29,positive
prazogostei,7,positive
produtorecomendo,7,positive
comprometimento,35,positive
aplicado,2,positive
fica,72,positive
agenda,2,positive
atendei,1,positive
bunito,1,positive
eficiente,165,positive
garantido,3,positive
cfe,4,positive
pesquisas,1,positive
confiáveis,7,positive
estarei,10,positive
buscando,1,positive
forma,94,positive
travesseiro,21,positive
telinha,1,positive
costurada,1,positive
consigo,14,positive
vêlo,1,positive
direito,22,positive
contudo,14,positive
percebese,2,positive
ofertado,6,positive
gel,2,positive
alívio,2,positive
calor,5,positive
você,25,positive
fronha,1,positive
conformeproduto,1,positive
ajudem,3,positive
rastrear,15,positive
prateleiras,7,positive
delas,5,positive
poderiam,41,positive
disponibilizar,1,positive
pulseiras,6,positive
pudéssemos,1,positive
escolha,10,positive
envios,1,positive
poderem,2,positive
á,17,positive
consegui,31,positive
acertar,3,positive
indevida,1,positive
seria,99,positive
portugues,2,positive
testando,21,positive
sh,1,positive
pontualidade,82,positive
prestadoo,1,positive
previstoparabéns,2,positive
ai,11,positive
esperando,29,positive
apontador,1,positive
segundos,2,positive
ponta,6,positive
doq,2,positive
sites,5,positive
concorrentes,6,positive
oferece,6,positive
necessidade,40,positive
parecidos,1,positive
qualidades,10,positive
equivalente,2,positive
acusa,2,positive
recomendoatendeu,1,positive
surpresa,24,positive
satisfeitaentregaram,1,positive
sou,69,positive
ha,5,positive
